#
# Global game animations
#
# position	flag			frame_num		dx	dy	sprite_first		sprite_num		sprite_step	frame_correction

ANIM_PLAYER_1	ANIM_SPRITE		ANIM_PLAYER_FRAMES	0	0	FIRST_PLAYER + 0	ANIM_PLAYER_FRAMES	1		0
ANIM_PLAYER_2	ANIM_SPRITE		ANIM_PLAYER_FRAMES	0	0	FIRST_PLAYER +10	ANIM_PLAYER_FRAMES	1		0
ANIM_PLAYER_3	ANIM_SPRITE		ANIM_PLAYER_FRAMES	0	0	FIRST_PLAYER +20	ANIM_PLAYER_FRAMES	1		0
ANIM_PLAYER_4	ANIM_SPRITE		ANIM_PLAYER_FRAMES	0	0	FIRST_PLAYER +30	ANIM_PLAYER_FRAMES	1		0
ANIM_PLAYER_5	ANIM_SPRITE		ANIM_PLAYER_FRAMES	0	0	FIRST_PLAYER +40	ANIM_PLAYER_FRAMES	1		0

ANIM_MOVE_UP   	ANIM_MOVE		ANIM_PLAYER_FRAMES	0	-2	0		0		0		0
ANIM_MOVE_DOWN  ANIM_MOVE		ANIM_PLAYER_FRAMES	0	2	0		0		0		0
ANIM_MOVE_LEFT  ANIM_MOVE		ANIM_PLAYER_FRAMES	-2	0	0		0		0		0
ANIM_MOVE_RIGHT ANIM_MOVE		ANIM_PLAYER_FRAMES	2	0	0		0		0		0

ANIM_STONE_1	ANIM_SPRITE		ANIM_STONE_FRAMES		0	0	ANIM_STONE_1_FRAME_FIRST	ANIM_STONE_FRAMES	1	0
ANIM_STONE_2	ANIM_SPRITE		ANIM_STONE_FRAMES		0	0	ANIM_STONE_2_FRAME_FIRST	ANIM_STONE_FRAMES	1	0

ANIM_EXIT_1	ANIM_SPRITE|ANIM_LOOP|ANIM_ADD_INVERSE	ANIM_EXIT_1_FRAMES	0	0	ANIM_EXIT_1_FRAME_FIRST	ANIM_EXIT_1_FRAMES	1	5

ANIM_BLAST	ANIM_SPRITE		ANIM_BLAST_FRAMES		0	0	ANIM_BLAST_FRAME_FIRST	ANIM_BLAST_FRAMES		1	0

ANIM_PLAYER_1_FAST	ANIM_SPRITE	ANIM_PLAYER_FRAMES_FAST		0	0	FIRST_PLAYER + 0	ANIM_PLAYER_FRAMES		2	0
ANIM_PLAYER_2_FAST	ANIM_SPRITE	ANIM_PLAYER_FRAMES_FAST		0	0	FIRST_PLAYER +10	ANIM_PLAYER_FRAMES		2	0
ANIM_PLAYER_3_FAST	ANIM_SPRITE	ANIM_PLAYER_FRAMES_FAST		0	0	FIRST_PLAYER +20	ANIM_PLAYER_FRAMES		2	0
ANIM_PLAYER_4_FAST	ANIM_SPRITE	ANIM_PLAYER_FRAMES_FAST		0	0	FIRST_PLAYER +30	ANIM_PLAYER_FRAMES		2	0
ANIM_PLAYER_5_FAST	ANIM_SPRITE	ANIM_PLAYER_FRAMES_FAST		0	0	FIRST_PLAYER +40	ANIM_PLAYER_FRAMES		2	0

ANIM_MOVE_UP_FAST	ANIM_MOVE	ANIM_PLAYER_FRAMES_FAST	0	-4	0	0	0	0
ANIM_MOVE_DOWN_FAST	ANIM_MOVE	ANIM_PLAYER_FRAMES_FAST	0	4	0	0	0	0
ANIM_MOVE_LEFT_FAST	ANIM_MOVE	ANIM_PLAYER_FRAMES_FAST	-4	0	0	0	0	0
ANIM_MOVE_RIGHT_FAST	ANIM_MOVE	ANIM_PLAYER_FRAMES_FAST	4	0	0	0	0	0
